,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
211,Sint Maarten,"10,123",,86 ,,"9,985",,52,10,"231,230","1,964","62,056","1,417,483","43,779 ",North America
212,Eritrea,"9,738",,103 ,,"9,631",,4,,"2,677",28,"23,693","6,514","3,637,426 ",Africa
213,Guinea-Bissau,"8,215",,171 ,,"8,005",,39,6,"3,999",83,"135,939","66,176","2,054,216 ",Africa
214,Comoros,"8,100",,160 ,,"7,933",,7,,"8,961",177,,,"903,939 ",Africa
215,Sierra Leone,"7,682",,125 ,,N/A,N/A,N/A,,928,15,"259,958","31,405","8,277,696 ",Africa
216,Chad,"7,414",,193 ,,"4,874",,"2,347",,429,11,"191,341","11,061","17,299,381 ",Africa
217,British Virgin Islands,"6,467",,62 ,,N/A,N/A,N/A,1,"211,312","2,026","103,397","3,378,545","30,604 ",North America
218,Sao Tome and Principe,"5,970",,73 ,,"5,891",,6,,"26,334",322,"29,036","128,079","226,704 ",Africa
219,Cook Islands,"5,367",+31,1 ,,"5,230",+15,136,,"305,047",57,"17,373","987,439","17,594 ",Australia/Oceania
220,St. Barth,"4,575",,6 ,,N/A,N/A,N/A,,"460,586",604,"78,646","7,917,648","9,933 ",North America
221,Anguilla,"2,984",,9 ,,"2,916",,59,4,"195,659",590,"51,382","3,369,091","15,251 ",North America
222,Montserrat,653,,2 ,,313,,338,,"130,652",400,"10,843","2,169,468","4,998 ",North America
223,Falkland Islands,197,, ,,N/A,N/A,N/A,,"53,708",,"8,632","2,353,326","3,668 ",South America
224,Vatican City,29,, ,,29,,0,,"36,025",,,,805 ,Europe
225,Western Sahara,10,,1 ,,9,,0,,16,2,,,"624,560 ",Africa
226,Niue,9,, ,,8,,1,,"5,468",,,,"1,646 ",Australia/Oceania
227,Nauru,7,, ,,4,,3,,639,,,,"10,950 ",Australia/Oceania
228,USA,"83,865,884","+81,115","1,025,538 ",+365,"81,060,767","+37,935","1,779,579","1,745","250,644","3,065","1,013,627,154","3,029,354","334,601,743 ",North America
229,India,"43,110,586","+2,897","524,157 ",+54,"42,566,935","+2,986","19,494",698,"30,680",373,"841,514,701","598,874","1,405,161,912 ",Asia
230,France,"29,021,224","+56,449","146,979 ",+123,"27,825,154","+155,579","1,049,091","1,364","442,793","2,243","269,816,888","4,116,745","65,541,322 ",Europe
231,UK,"22,144,628","+4,341","176,424 ",,"21,589,987","+31,555","378,217",253,"323,056","2,574","519,264,096","7,575,273","68,547,249 ",Europe
232,S. Korea,"17,614,895","+49,896","23,462 ",+62,N/A,N/A,N/A,398,"343,029",457,"15,804,065","307,766","51,350,995 ",Asia
233,Turkey,"15,046,779","+1,858","98,861 ",+7,"14,944,393","+1,511","3,525",975,"174,918","1,149","160,096,045","1,861,110","86,021,816 ",Asia
234,Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"198,006","2,801","35,716,069","777,031","45,964,778 ",South America
235,Netherlands,"8,063,023","+1,580","22,281 ",+3,"7,966,635","+7,168","74,107",55,"468,640","1,295","21,107,399","1,226,806","17,205,170 ",Europe
236,Iran,"7,226,219",+460,"141,192 ",+3,"7,010,698","+2,467","74,329",836,"84,039","1,642","51,582,635","599,894","85,986,283 ",Asia
237,Colombia,"6,093,645",,"139,809 ",,"5,927,076",,"26,760",342,"117,437","2,694","34,560,302","666,049","51,888,507 ",South America
238,Poland,"6,001,327",+727,"116,149 ",+11,"5,334,972",+39,"550,206","1,125","158,892","3,075","36,178,272","957,863","37,769,758 ",Europe
239,Ukraine,"5,006,460",,"108,449 ",,N/A,N/A,N/A,177,"115,765","2,508","19,521,252","451,393","43,246,695 ",Europe
240,Thailand,"4,337,568","+6,230","29,199 ",+53,"4,228,370","+11,132","79,999","1,496","61,855",416,"17,270,775","246,286","70,124,735 ",Asia
241,Belgium,"4,102,082",,"31,580 ",,"3,903,739","+12,348","166,763",122,"351,111","2,703","33,779,532","2,891,304","11,683,149 ",Europe
242,Portugal,"3,935,932",,"22,420 ",,N/A,N/A,N/A,61,"388,098","2,211","41,642,475","4,106,110","10,141,589 ",Europe
243,South Africa,"3,852,148","+7,523","100,559 ",+26,"3,685,196","+4,341","66,393",192,"63,467","1,657","24,726,029","407,381","60,695,163 ",Africa
244,Philippines,"3,687,319",+126,"60,439 ",,"3,623,243",+391,"3,637",289,"32,839",538,"29,743,235","264,890","112,285,313 ",Asia
245,Chile,"3,583,227","+1,853","57,642 ",+3,"3,454,381","+3,462","71,204",167,"184,508","2,968","37,419,745","1,926,820","19,420,468 ",South America
246,Greece,"3,371,051","+6,453","29,444 ",+27,"3,280,545","+7,555","61,062",196,"326,378","2,851","80,771,769","7,820,152","10,328,670 ",Europe
247,Romania,"2,900,375",+812,"65,582 ",+15,N/A,N/A,N/A,153,"152,653","3,452","22,872,014","1,203,803","18,999,797 ",Europe
248,Iraq,"2,325,871",+131,"25,215 ",+1,"2,299,451",+125,"1,205",11,"55,516",602,"18,508,162","441,769","41,895,563 ",Asia
249,Bangladesh,"1,952,855",+26,"29,127 ",,"1,898,063",+265,"25,665","1,273","11,643",174,"14,027,750","83,632","167,731,723 ",Asia
250,Slovakia,"1,785,535",+349,"19,994 ",+10,"1,756,592","+1,392","8,949",36,"326,749","3,659","7,117,625","1,302,510","5,464,545 ",Europe
251,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,411","4,229","16,920,079","4,256,656","3,974,970 ",Asia
