,Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total tests,Tests/ 1M pop,region,population,1 Case every X ppl,1 death every X ppl,1 Test every X ppl
97,Caribbean Netherlands,9346.0,34.0,8987.0,325.0,293.0128205128205,350615.0,1276.0,30126.0,1130177.0,North America,26656.0,3.0,784.0,1.0
98,Tonga,8761.0,11.0,6900.0,1850.0,293.0128205128205,81252.0,102.0,319471.0,2962866.0,Australia/Oceania,107825.0,12.0,9802.0,0.0
99,Comoros,8100.0,160.0,7933.0,7.0,293.0128205128205,8975.0,177.0,32960.59567901235,2131213.886792453,Africa,902519.0,111.0,5641.0,9.40566037735849
100,Antigua and Barbuda,7523.0,135.0,7367.0,21.0,1.0,75706.0,1359.0,18901.0,190206.0,North America,99371.0,13.0,736.0,5.0
101,Chad,7378.0,192.0,4874.0,2312.0,293.0128205128205,427.0,11.0,191341.0,11084.0,Africa,17263176.0,2340.0,89912.0,90.0
102,British Virgin Islands,6162.0,62.0,2569389.7672955976,89703.6289308176,1.0,201445.0,2027.0,102294.0,3344143.0,North America,30589.0,5.0,493.0,0.0
103,Turks and Caicos,5936.0,36.0,5862.0,38.0,4.0,149718.0,908.0,447713.0,11292196.0,North America,39648.0,7.0,1101.0,0.0
104,Vanuatu,5536.0,6.0,4264.0,1266.0,4.0,17306.0,19.0,24976.0,78075.0,Australia/Oceania,319898.0,58.0,53316.0,13.0
105,Palau,4122.0,6.0,3803.0,313.0,293.0128205128205,225900.0,329.0,42138.0,2309311.0,Australia/Oceania,18247.0,4.0,3041.0,0.0
106,Cook Islands,3688.0,32960.595679012345,3049.0,639.0,293.0128205128205,209629.0,1230.2530864197531,14341.0,815154.0,Australia/Oceania,17593.0,5.0,8218.163580246914,1.0
107,Anguilla,2731.0,9.0,2716.0,6.0,4.0,179188.0,591.0,51382.0,3371301.0,North America,15241.0,6.0,1693.0,0.0
108,Wallis and Futuna,454.0,7.0,438.0,9.0,293.0128205128205,41693.0,643.0,20508.0,1883369.0,Australia/Oceania,10889.0,24.0,1556.0,1.0
109,Falkland Islands,128.0,32960.595679012345,2569389.7672955976,89703.6289308176,293.0128205128205,34973.0,1230.2530864197531,8632.0,2358470.0,South America,3660.0,29.0,8218.163580246914,0.0
110,Vatican City,29.0,32960.595679012345,29.0,0.0,293.0128205128205,36025.0,1230.2530864197531,32960.59567901235,2131213.886792453,Europe,805.0,28.0,8218.163580246914,9.40566037735849
112,Niue,7.0,32960.595679012345,7.0,0.0,293.0128205128205,4253.0,1230.2530864197531,32960.59567901235,2131213.886792453,Australia/Oceania,1646.0,235.0,8218.163580246914,9.40566037735849
113,Saint Helena,2.0,32960.595679012345,2.0,0.0,293.0128205128205,327.0,1230.2530864197531,32960.59567901235,2131213.886792453,Africa,6109.0,3055.0,8218.163580246914,9.40566037735849
114,USA,82192880.0,1014114.0,80052556.0,1126210.0,1559.0,245753.0,3032.0,993285213.0,2969875.0,North America,334453530.0,4.0,330.0,0.0
115,India,43039023.0,521767.0,42506228.0,11028.0,698.0,30652.0,372.0,794525202.0,565851.0,Asia,1404124784.0,33.0,2691.0,2.0
116,France,27310055.0,143777.0,24492686.0,2673592.0,1541.0,416755.0,2194.0,260504402.0,3975327.0,Europe,65530304.0,2.0,456.0,0.0
117,UK,21715116.0,171045.0,19974579.0,1569492.0,385.0,316916.0,2496.0,511698520.0,7467868.0,Europe,68520023.0,3.0,401.0,0.0
118,S. Korea,15830644.0,20034.0,2569389.7672955976,89703.6289308176,1014.0,308303.0,390.0,15804065.0,307786.0,Asia,51347631.0,3.0,2563.0,3.0
119,Turkey,14978031.0,98493.0,14688473.0,191065.0,975.0,174260.0,1146.0,156514251.0,1820940.0,Asia,85952426.0,6.0,873.0,1.0
120,Spain,11662214.0,103266.0,11120708.0,438240.0,368.0,249262.0,2207.0,471036328.0,10067681.0,Europe,46786975.0,4.0,453.0,0.0
121,Argentina,9057923.0,128285.0,8889899.0,39739.0,424.0,197198.0,2793.0,35681964.0,776825.0,South America,45933081.0,5.0,358.0,1.0
122,Iran,7199861.0,140711.0,6930509.0,128641.0,1376.0,83813.0,1638.0,50079995.0,582976.0,Asia,85904040.0,12.0,610.0,2.0
123,Indonesia,6036909.0,155746.0,5814688.0,66475.0,2771.0,21664.0,559.0,93593555.0,335863.0,Asia,278665486.0,46.0,1789.0,3.0
124,Mexico,5723862.0,323805.0,5024561.0,375496.0,4798.0,43580.0,2465.0,15683615.0,119411.0,North America,131340943.0,23.0,406.0,8.0
