,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
23,Ireland,"1,551,835",,"7,244 ",,"1,525,470",,"19,121",28,"307,790","1,437","12,193,391","2,418,429","5,041,865 ",Europe
24,Norway,"1,431,697",,"3,094 ",,N/A,N/A,N/A,20,"260,250",562,"11,002,430","1,999,994","5,501,232 ",Europe
25,Kazakhstan,"1,305,697",,"13,661 ",,"1,291,885",,151,24,"68,003",711,"11,575,012","602,849","19,200,508 ",Asia
26,Hong Kong,"1,210,586",,"9,370 ",,N/A,N/A,N/A,5,"159,042","1,231","44,972,952","5,908,356","7,611,754 ",Asia
27,Bulgaria,"1,163,706",,"37,106 ",,"1,044,355",,"82,245",41,"169,890","5,417","9,971,266","1,455,706","6,849,781 ",Europe
28,New Zealand,"1,113,828","+8,511","1,031 ",+14,"1,059,714","+9,931","53,083",,"222,672",206,"7,161,742","1,431,747","5,002,100 ",Australia/Oceania
29,Lebanon,"1,098,640",,"10,418 ",,"1,085,901",,"2,321",186,"162,334","1,539","4,795,578","708,589","6,767,784 ",Asia
30,Lithuania,"1,061,549",,"9,134 ",,"1,035,276",,"17,139",11,"400,485","3,446","9,967,630","3,760,432","2,650,661 ",Europe
31,Slovenia,"1,022,600",,"6,630 ",,"1,009,441",,"6,529",7,"491,758","3,188","2,662,274","1,280,261","2,079,477 ",Europe
32,Nepal,"979,076",,"11,952 ",,"966,991",,133,,"32,500",397,"5,687,735","188,801","30,125,552 ",Asia
33,UAE,"905,151",,"2,302 ",,"888,939",,"13,910",,"89,478",228,"160,728,161","15,888,685","10,115,888 ",Asia
34,Costa Rica,"877,533",,"8,472 ",,"848,035",,"21,026",38,"169,346","1,635","4,487,906","866,074","5,181,896 ",North America
35,Guatemala,"856,576",,"17,969 ",,"836,034",,"2,573",5,"46,199",969,"4,608,728","248,572","18,540,831 ",North America
36,Latvia,"827,201",,"5,815 ",,"818,845",,"2,541",7,"447,894","3,149","7,241,076","3,920,733","1,846,868 ",Europe
37,Saudi Arabia,"763,692",,"9,131 ",,"748,030",,"6,531",73,"21,310",255,"42,358,052","1,181,969","35,836,864 ",Asia
38,Paraguay,"650,283",,"18,885 ",,"624,673",,"6,725",4,"89,106","2,588","2,633,737","360,892","7,297,859 ",South America
39,Myanmar,"613,227",,"19,434 ",,"592,189",,"1,604",,"11,130",353,"8,147,519","147,873","55,098,088 ",Asia
40,Bahrain,"581,866",,"1,483 ",,"576,076",,"4,307",5,"320,920",818,"9,819,506","5,415,803","1,813,121 ",Asia
41,Estonia,"575,046",,"2,561 ",,"516,588",,"55,897",4,"432,945","1,928","3,357,306","2,527,677","1,328,218 ",Europe
42,Moldova,"517,753",,"11,503 ",,"504,142",,"2,108",49,"128,914","2,864","3,216,305","800,818","4,016,275 ",Europe
43,Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,216",912,"2,477,219","351,498","7,047,599 ",Africa
44,Ethiopia,"471,423",,"7,512 ",,"455,815",,"8,096",10,"3,918",62,"4,871,615","40,484","120,335,347 ",Africa
45,Honduras,"424,859",,"10,896 ",,"132,401",,"281,562",105,"41,645","1,068","1,372,779","134,562","10,201,836 ",North America
46,Réunion,"411,363",,770 ,,"403,795",,"6,798",10,"453,358",849,"1,603,660","1,767,374","907,369 ",Africa
47,Bosnia and Herzegovina,"377,745",,"15,785 ",,N/A,N/A,N/A,,"116,504","4,868","1,772,985","546,825","3,242,324 ",Europe
48,Kenya,"324,274",,"5,651 ",,"318,324",,299,,"5,790",101,"3,650,765","65,186","56,005,746 ",Africa
49,North Macedonia,"311,350",,"9,297 ",,"301,545",,508,,"149,457","4,463","2,042,804","980,603","2,083,213 ",Europe
50,Albania,"275,881",,"3,497 ",,"272,162",,222,2,"96,063","1,218","1,823,510","634,956","2,871,868 ",Europe
51,Nigeria,"255,937",,"3,143 ",,"249,996",,"2,798",11,"1,186",15,"5,152,011","23,877","215,777,439 ",Africa
52,Luxembourg,"244,182",,"1,073 ",,"235,939",,"7,170",,"378,463","1,663","4,248,188","6,584,368","645,193 ",Europe
53,Montenegro,"236,762",,"2,719 ",,"233,404",,639,6,"376,880","4,328","2,470,598","3,932,721","628,216 ",Europe
54,China,"223,488",+156,"5,224 ",+1,"214,308",+474,"3,956",192,155,4,"160,000,000","111,163","1,439,323,776 ",Asia
55,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,877",445,"1,907,195","283,501","6,727,287 ",Asia
56,Afghanistan,"179,716",,"7,698 ",,"162,741",,"9,277","1,124","4,428",190,"958,454","23,618","40,582,247 ",Asia
57,Namibia,"164,953",,"4,033 ",,"157,953",,"2,967",,"62,774","1,535","1,030,613","392,208","2,627,723 ",Africa
58,El Salvador,"162,089",,"4,131 ",,"150,662",,"7,296",8,"24,754",631,"1,950,448","297,871","6,547,961 ",North America
59,Trinidad and Tobago,"158,668",,"3,895 ",,"145,462",,"9,311",18,"112,687","2,766","738,081","524,191","1,408,039 ",North America
60,Brunei ,"146,775",,222 ,,"144,943",,"1,610",,"329,547",498,"717,784","1,611,607","445,384 ",Asia
61,Cambodia,"136,262",,"3,056 ",,"133,201",,5,,"7,943",178,"2,964,585","172,806","17,155,558 ",Asia
62,Rwanda,"129,988",,"1,459 ",,"45,522",,"83,007",,"9,588",108,"5,390,797","397,614","13,557,875 ",Africa
63,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,851",55,"1,499,795","43,104","34,794,535 ",Africa
64,DRC,"87,633",,"1,338 ",,"50,930",,"35,365",,925,14,"846,704","8,941","94,696,994 ",Africa
65,Malawi,"85,935",,"2,638  ",,"82,848",,449,67,"4,283",131,"581,687","28,994","20,062,407 ",Africa
66,Ivory Coast,"82,070",,799 ,,"81,235",,36,,"2,972",29,"1,515,956","54,905","27,610,458 ",Africa
67,Barbados,"79,049",,440 ,,"74,772",,"3,837",,"274,439","1,528","680,193","2,361,461","288,039 ",North America
68,French Polynesia,"72,876",,649 ,,N/A,N/A,N/A,7,"256,631","2,285",,,"283,972 ",Australia/Oceania
69,Fiji,"64,898",,862 ,,"63,010",,"1,026",,"71,418",949,"526,353","579,235","908,703 ",Australia/Oceania
70,Guyana,"64,297",,"1,231 ",,"62,515",,551,,"81,008","1,551","620,491","781,756","793,714 ",South America
71,New Caledonia,"61,514",,312 ,,"60,620",,582,9,"211,623","1,073","98,964","340,460","290,677 ",Australia/Oceania
72,Mauritania,"59,047",,982 ,,"57,797",,268,,"12,099",201,"825,510","169,155","4,880,196 ",Africa
73,Cabo Verde,"56,172",,401 ,,"55,669",,102,23,"99,002",707,"400,982","706,723","567,382 ",Africa
74,Gabon,"47,622",,304 ,,"47,303",,15,,"20,484",131,"1,595,381","686,243","2,324,806 ",Africa
75,Seychelles,"43,729",,167 ,,"43,040",,522,,"439,505","1,678",,,"99,496 ",Africa
76,Andorra,"42,572",,153 ,,"41,757",,662,14,"549,330","1,974","249,838","3,223,799","77,498 ",Europe
77,Mauritius,"37,985",,996 ,,"36,327",,662,,"29,775",781,"358,675","281,148","1,275,750 ",Africa
78,Togo,"37,049",,273 ,,"36,750",,26,,"4,286",32,"738,358","85,411","8,644,750 ",Africa
79,Aruba,"36,316",,213 ,,"35,808",,295,,"337,443","1,979","177,885","1,652,884","107,621 ",North America
80,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"704,245",569,"778,000","15,808,831","49,213 ",Europe
